particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,30.18,4.81,6.277,0.99,89.24,473.1,69.1
2,rod,19.24,4.22,4.556,0.978,55.03,109.7,84.0
3,rod,19.59,4.66,4.208,0.978,59.2,490.8,120.8
4,rod,32.5,3.85,8.445,0.995,85.42,261.3,138.5
5,rod,21.96,3.33,6.591,0.991,57.64,355.7,125.7
6,rod,31.91,4.0,7.981,0.994,92.88,363.8,136.4
7,rod,32.22,5.4,5.963,0.989,98.09,369.3,152.3
8,rod,11.01,3.42,3.222,0.959,27.43,123.2,217.8
9,rod,29.01,4.28,6.778,0.991,86.46,412.6,246.5
10,rod,50.37,20.73,2.43,0.918,199.83,402.6,283.2
11,rod,26.08,4.04,6.458,0.989,77.26,437.2,261.3
12,rod,29.26,4.08,7.168,0.993,84.72,484.2,259.0
13,rod,35.02,3.62,9.672,0.996,98.78,484.6,275.8
14,dot,103.9,51.75,2.008,0.834,1888.37,440.8,379.6
15,rod,16.18,3.05,5.303,0.986,36.81,73.5,317.6
16,dot,34.39,22.04,1.56,0.827,143.4,297.5,351.1
17,rod,33.5,3.81,8.788,0.995,93.4,328.2,335.7
18,rod,27.19,3.85,7.066,0.992,75.87,267.8,362.7
19,rod,27.39,3.6,7.616,0.992,64.93,254.8,366.1
20,rod,33.91,10.79,3.144,0.956,97.22,57.8,386.9
21,rod,22.93,4.05,5.661,0.988,63.72,31.7,370.7
22,rod,30.33,3.55,8.542,0.994,81.42,142.4,402.3
23,rod,22.56,3.75,6.01,0.989,64.24,95.5,400.3
24,rod,32.26,3.61,8.946,0.995,87.85,129.6,407.3
25,rod,28.11,4.09,6.871,0.991,75.87,80.1,413.3
26,rod,27.27,3.59,7.604,0.993,69.97,166.4,411.5
27,rod,33.05,3.1,10.643,0.997,70.14,60.3,441.8
28,rod,30.56,4.37,7.002,0.991,82.12,498.3,457.9
29,rod,31.32,3.7,8.468,0.995,88.89,461.1,462.8
30,rod,26.1,4.78,5.455,0.988,70.49,85.3,457.8
31,rod,26.1,4.01,6.516,0.99,74.48,376.2,471.1
32,rod,37.01,4.8,7.706,0.993,104.69,462.2,485.2
33,rod,27.44,3.58,7.659,0.993,74.48,452.6,517.0
