particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,9.49,4.62,2.053,0.873,27.43,79.0,16.4
2,rod,35.51,4.6,7.726,0.992,118.06,290.6,80.1
3,rod,69.33,5.61,12.354,0.997,275.35,509.5,115.7
4,rod,58.06,7.94,7.317,0.991,263.54,291.8,130.7
5,rod,53.88,8.29,6.499,0.988,224.13,71.1,175.6
6,rod,85.1,6.82,12.472,0.997,384.9,348.4,228.8
7,rod,77.44,6.93,11.169,0.996,342.36,261.9,258.6
8,rod,67.05,6.97,9.626,0.995,299.65,277.4,279.5
9,rod,65.24,7.43,8.782,0.993,329.51,110.0,374.4
10,rod,24.29,4.6,5.281,0.982,72.57,56.1,373.9
11,rod,35.96,22.65,1.588,0.777,304.51,402.2,411.6
12,rod,37.81,16.73,2.26,0.897,256.08,171.9,461.2
13,rod,39.66,5.97,6.638,0.989,160.59,110.7,458.9
14,rod,9.98,4.79,2.083,0.877,33.68,76.1,484.4
