particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,20.13,3.53,5.694,0.984,51.04,218.0,120.8
2,rod,30.43,14.47,2.103,0.88,213.02,371.2,269.4
3,rod,39.84,7.14,5.583,0.984,190.98,341.8,309.1
4,rod,22.02,3.97,5.545,0.984,60.95,521.2,274.9
5,rod,14.94,4.08,3.66,0.962,38.02,415.9,307.6
6,rod,20.14,3.11,6.47,0.988,42.16,219.7,323.1
7,rod,29.96,3.92,7.648,0.991,81.66,392.6,333.6
8,rod,16.77,3.3,5.078,0.98,36.69,437.7,337.2
9,rod,8.78,4.23,2.077,0.876,24.41,311.6,347.8
10,rod,20.32,2.89,7.037,0.99,43.64,237.6,373.2
11,rod,8.82,3.23,2.727,0.93,21.3,237.6,444.4
12,rod,19.85,5.73,3.465,0.957,77.22,478.9,480.1
13,rod,17.15,4.12,4.162,0.971,47.04,175.1,481.8
