particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,10.13,3.42,2.964,0.941,24.1,56.3,25.0
2,rod,12.94,3.33,3.887,0.966,30.22,14.8,29.6
3,rod,13.01,3.98,3.272,0.952,32.4,229.6,29.0
4,dot,13.24,10.52,1.258,0.607,67.16,247.1,28.2
5,rod,10.77,4.95,2.173,0.888,34.57,296.0,28.7
6,rod,12.7,4.25,2.986,0.942,30.81,159.7,30.5
7,rod,16.63,5.15,3.229,0.951,50.77,318.2,30.2
8,rod,15.92,7.46,2.133,0.883,44.25,41.7,31.8
9,rod,10.67,4.91,2.175,0.888,32.0,423.3,40.1
10,rod,9.12,3.92,2.325,0.903,25.88,281.0,41.2
11,rod,10.41,3.71,2.805,0.934,23.7,133.0,38.9
12,rod,9.39,3.79,2.479,0.915,23.31,87.4,39.5
13,rod,14.57,3.4,4.285,0.972,34.77,146.2,49.7
14,rod,13.13,3.45,3.811,0.965,30.81,107.4,49.4
15,rod,14.4,5.13,2.806,0.934,39.11,257.5,52.2
16,rod,13.18,3.33,3.958,0.968,28.64,49.1,51.6
17,rod,11.46,5.46,2.1,0.879,36.74,301.2,45.9
18,rod,11.27,4.34,2.598,0.923,33.19,229.2,51.4
19,reject,15.75,8.91,1.767,0.824,63.41,334.6,56.2
20,rod,11.23,3.61,3.108,0.947,28.05,176.8,53.1
21,rod,18.26,8.06,2.265,0.897,80.2,468.3,52.6
22,rod,15.79,3.94,4.013,0.968,41.48,166.2,57.7
23,rod,13.96,3.2,4.368,0.973,27.06,83.8,59.3
24,rod,9.96,3.4,2.931,0.94,22.32,96.0,54.0
25,rod,13.03,4.32,3.021,0.944,35.95,130.0,59.7
26,rod,10.84,3.56,3.048,0.945,25.68,66.2,61.1
27,rod,15.88,4.65,3.416,0.956,45.63,271.8,67.3
28,rod,14.88,3.89,3.826,0.965,37.93,157.5,67.8
29,reject,13.64,9.44,1.445,0.722,66.17,290.6,66.9
30,rod,15.18,4.27,3.558,0.96,37.14,115.6,77.9
31,rod,10.39,4.58,2.271,0.898,30.22,146.7,73.3
