particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,26.74,4.39,6.091,0.986,72.1,460.9,38.8
2,rod,16.02,4.47,3.583,0.96,44.05,482.5,24.3
3,reject,9.1,6.73,1.353,0.674,35.75,502.6,20.9
4,rod,16.98,7.78,2.183,0.889,66.57,444.4,43.1
5,reject,18.79,10.06,1.868,0.845,85.93,83.5,76.1
6,reject,18.66,11.63,1.605,0.782,86.91,47.7,83.5
7,rod,37.97,3.8,9.997,0.995,84.94,125.1,113.7
8,reject,8.59,6.33,1.357,0.676,32.2,150.2,89.6
9,rod,26.14,4.79,5.457,0.983,77.83,52.3,106.4
10,reject,20.49,12.63,1.622,0.787,94.22,100.4,109.7
11,rod,10.5,5.01,2.097,0.879,36.15,167.2,105.8
12,rod,37.63,3.91,9.63,0.995,85.93,133.2,133.4
13,rod,28.25,3.54,7.975,0.992,67.56,146.9,133.8
14,rod,18.07,7.71,2.343,0.904,71.7,56.0,127.1
15,rod,22.35,3.27,6.842,0.989,47.8,209.0,133.2
16,rod,22.77,5.8,3.929,0.967,65.19,360.0,164.9
17,rod,29.69,4.21,7.045,0.99,86.91,51.3,175.0
18,rod,33.23,4.82,6.892,0.989,85.53,176.0,177.4
19,rod,16.45,3.03,5.434,0.983,29.83,238.7,169.1
20,rod,12.38,3.63,3.411,0.956,31.41,209.5,178.2
21,rod,24.72,4.19,5.899,0.986,57.28,242.4,182.6
22,dot,14.29,12.35,1.157,0.503,75.65,130.8,193.0
23,rod,33.16,3.57,9.301,0.994,68.54,242.7,198.0
24,rod,25.69,4.34,5.917,0.986,81.58,84.9,212.6
25,rod,19.57,7.45,2.626,0.925,56.69,287.2,210.8
26,rod,26.02,4.0,6.502,0.988,68.74,149.6,231.8
27,rod,29.32,5.18,5.659,0.984,93.04,86.0,241.8
28,rod,10.95,4.9,2.236,0.894,33.98,240.6,246.2
29,rod,27.04,4.99,5.424,0.983,91.46,24.0,266.3
30,rod,37.66,3.1,12.164,0.997,78.42,282.5,283.8
31,rod,19.43,3.43,5.672,0.984,38.72,442.1,268.4
32,rod,19.52,3.78,5.165,0.981,50.77,169.0,270.5
33,rod,32.03,4.07,7.868,0.992,68.35,216.3,280.8
34,rod,19.38,3.4,5.693,0.984,41.48,455.5,282.0
35,reject,15.3,10.36,1.476,0.736,78.42,145.3,278.1
36,rod,17.23,3.89,4.423,0.974,44.25,473.0,295.6
37,rod,29.39,4.56,6.444,0.988,91.46,90.0,320.3
38,rod,19.82,3.47,5.709,0.985,47.41,233.0,313.4
39,rod,18.8,3.61,5.203,0.981,45.63,487.5,303.8
40,rod,33.33,4.03,8.278,0.993,90.86,103.2,327.8
41,rod,38.79,4.22,9.19,0.994,113.98,116.6,342.8
42,rod,39.89,3.94,10.117,0.995,104.89,130.8,341.2
43,rod,11.5,4.32,2.661,0.927,32.79,492.4,315.3
44,rod,17.21,6.26,2.751,0.932,57.88,346.6,320.3
45,rod,31.69,3.68,8.603,0.993,66.57,289.9,347.1
46,rod,25.43,4.55,5.589,0.984,83.75,143.9,348.8
47,rod,36.9,4.67,7.907,0.992,93.43,160.8,354.9
48,rod,35.98,3.74,9.611,0.995,70.72,330.4,361.5
49,rod,34.61,5.16,6.712,0.989,100.54,77.1,356.9
50,rod,22.31,3.25,6.862,0.989,42.07,302.5,354.8
51,rod,29.66,4.34,6.835,0.989,92.84,29.5,365.8
52,rod,40.11,3.84,10.438,0.995,82.37,273.3,378.9
53,rod,32.41,6.03,5.371,0.983,93.23,197.3,376.7
54,rod,30.99,3.86,8.031,0.992,81.78,172.5,377.1
55,rod,32.48,3.63,8.955,0.994,77.43,258.5,385.6
56,rod,36.51,3.06,11.951,0.996,77.83,345.2,393.2
57,rod,21.48,5.06,4.245,0.972,51.16,461.9,375.4
