particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
2,dot,8.16,6.67,1.225,0.577,44.44,16.5,23.0
3,dot,6.38,6.38,1.0,0.0,33.33,5.5,23.5
4,dot,6.38,6.38,1.0,0.0,33.33,11.5,26.5
5,dot,5.77,4.71,1.225,0.577,22.22,21.0,26.5
8,reject,18.31,6.19,2.957,0.941,72.22,14.0,34.5
9,dot,5.77,4.71,1.225,0.577,22.22,21.5,33.0
11,dot,5.77,4.71,1.225,0.577,22.22,27.0,37.5
12,dot,5.77,4.71,1.225,0.577,22.22,21.5,39.0
14,dot,5.77,4.71,1.225,0.577,22.22,3.0,40.5
15,dot,6.67,5.25,1.27,0.616,27.78,12.3,40.7
16,dot,6.67,5.25,1.27,0.616,27.78,31.7,40.7
17,dot,7.9,6.14,1.287,0.629,38.89,45.8,41.4
18,dot,6.38,6.38,1.0,0.0,33.33,26.5,43.5
20,dot,6.38,6.38,1.0,0.0,33.33,57.5,47.5
21,dot,6.38,6.38,1.0,0.0,33.33,45.5,48.5
22,reject,19.68,7.38,2.667,0.927,100.0,53.6,52.6
25,dot,5.77,4.71,1.225,0.577,22.22,38.0,53.5
26,dot,7.92,7.56,1.047,0.297,47.22,45.0,54.4
27,dot,5.77,4.71,1.225,0.577,22.22,23.0,55.5
29,dot,6.67,5.25,1.27,0.616,27.78,51.3,57.3
33,dot,5.77,4.71,1.225,0.577,22.22,51.0,62.5
34,dot,6.38,6.38,1.0,0.0,33.33,44.5,63.5
