particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,103.34,12.29,8.408,0.993,953.51,569.1,104.3
2,rod,109.1,12.54,8.703,0.993,1004.01,367.1,48.2
3,rod,90.49,12.72,7.114,0.99,870.21,145.5,56.0
4,rod,99.1,12.69,7.81,0.992,949.34,703.6,120.6
5,rod,100.07,11.88,8.422,0.993,894.42,159.8,85.9
6,rod,101.28,12.63,8.018,0.992,954.55,219.1,137.2
7,rod,114.15,11.69,9.763,0.995,982.14,313.4,175.5
8,rod,93.35,12.41,7.52,0.991,869.95,340.1,159.0
9,rod,88.16,12.33,7.152,0.99,809.82,682.2,152.4
10,rod,92.91,12.94,7.177,0.99,894.42,649.8,163.1
11,rod,103.9,12.14,8.555,0.993,936.85,127.1,127.5
12,rod,91.82,12.14,7.56,0.991,838.97,281.9,179.5
13,rod,85.82,11.64,7.374,0.991,742.14,388.0,186.6
14,rod,93.08,13.37,6.96,0.99,932.42,139.0,203.9
15,rod,117.16,11.9,9.842,0.995,1021.45,198.7,230.5
16,rod,10.73,5.19,2.068,0.875,39.31,621.2,171.4
17,rod,106.33,12.68,8.385,0.993,1008.17,625.7,273.3
18,rod,98.05,11.82,8.299,0.993,860.32,595.2,277.3
19,rod,93.84,12.31,7.623,0.991,865.26,663.2,277.6
20,rod,95.54,12.27,7.785,0.992,873.85,287.0,267.6
21,rod,215.98,13.06,16.534,0.998,1859.12,722.6,410.5
22,rod,98.29,13.44,7.315,0.991,986.57,398.2,316.2
23,rod,91.58,12.16,7.533,0.991,833.51,269.2,298.0
24,rod,105.61,12.92,8.176,0.992,1019.11,276.0,336.8
25,rod,102.14,12.58,8.121,0.992,949.86,210.7,379.6
26,rod,91.6,12.67,7.228,0.99,864.22,389.0,377.3
27,rod,98.52,12.52,7.872,0.992,919.41,109.2,404.1
28,reject,11.29,7.91,1.427,0.713,69.5,695.0,368.1
29,rod,100.23,12.15,8.248,0.993,901.19,125.3,434.8
30,rod,111.89,12.17,9.198,0.994,1004.79,700.2,478.0
31,rod,100.75,11.93,8.446,0.993,897.02,457.5,472.7
32,rod,117.22,12.52,9.366,0.994,1075.07,203.7,486.0
33,rod,97.53,12.08,8.073,0.992,884.01,277.2,471.6
34,rod,98.42,12.91,7.622,0.991,941.01,669.7,477.7
35,rod,118.01,12.21,9.665,0.995,986.83,338.8,492.9
36,rod,105.72,12.61,8.386,0.993,992.56,302.7,494.9
37,rod,104.75,11.93,8.778,0.993,928.78,396.5,520.2
38,rod,103.07,13.27,7.766,0.992,1017.02,560.7,456.3
39,rod,85.9,12.01,7.153,0.99,769.21,431.0,526.0
40,rod,89.04,12.41,7.173,0.99,824.14,553.5,491.9
