particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,149.41,23.47,6.366,0.988,2452.17,475.5,55.4
2,rod,118.87,37.35,3.182,0.949,3402.42,573.1,46.4
3,rod,84.03,25.88,3.246,0.951,1540.18,608.6,43.0
4,rod,152.55,35.97,4.242,0.972,4196.43,419.1,36.4
5,rod,269.22,32.97,8.165,0.992,5580.36,129.8,64.6
6,reject,30.17,20.11,1.5,0.745,398.6,283.3,65.2
7,rod,325.51,39.56,8.228,0.993,9633.29,167.8,83.7
8,rod,341.79,36.37,9.399,0.994,8587.37,451.5,155.0
9,rod,393.89,42.61,9.245,0.994,12480.87,313.1,174.3
10,rod,152.41,35.08,4.344,0.973,3989.16,229.7,121.1
11,rod,41.03,23.17,1.771,0.825,711.1,315.3,90.9
12,rod,255.98,42.28,6.054,0.986,8073.98,675.4,141.6
13,rod,325.2,43.78,7.429,0.991,10507.02,650.5,163.5
14,rod,234.53,40.2,5.834,0.985,5481.51,337.6,154.9
15,rod,321.07,44.36,7.238,0.99,10746.17,281.6,178.0
16,rod,349.63,45.14,7.746,0.992,11916.45,422.1,185.1
17,reject,46.82,31.11,1.505,0.747,1122.45,201.4,111.8
18,rod,31.77,18.89,1.682,0.804,404.97,534.4,110.6
19,rod,146.4,29.03,5.043,0.98,3249.36,121.7,129.1
20,rod,29.23,15.39,1.899,0.85,328.44,567.1,125.0
21,rod,300.56,37.72,7.968,0.992,8284.44,387.9,187.4
22,rod,387.68,40.3,9.619,0.995,11763.39,509.8,226.0
23,rod,152.99,35.9,4.262,0.972,3998.72,25.0,167.6
24,rod,201.68,43.48,4.639,0.976,5848.21,148.4,186.7
25,rod,46.85,17.2,2.724,0.93,465.56,55.4,146.1
26,rod,59.32,28.45,2.085,0.877,1173.47,177.8,194.7
27,rod,370.1,44.82,8.257,0.993,12388.39,626.4,275.6
28,rod,205.81,34.58,5.951,0.986,4658.8,582.1,240.0
29,rod,327.64,43.37,7.555,0.991,10586.73,664.1,279.9
30,rod,183.22,35.68,5.134,0.981,4642.86,146.8,248.2
31,rod,332.3,44.15,7.526,0.991,11058.67,287.0,267.6
32,rod,747.19,47.36,15.778,0.998,24368.62,723.8,416.2
33,rod,342.21,46.57,7.349,0.991,11977.04,397.8,315.7
34,rod,378.43,40.58,9.325,0.994,11348.85,450.3,343.7
35,rod,330.14,39.92,8.27,0.993,8941.33,267.5,298.2
36,rod,257.47,44.72,5.758,0.985,8711.73,516.4,323.9
37,rod,376.75,40.74,9.248,0.994,10082.91,278.9,337.9
38,rod,232.93,38.6,6.034,0.986,6559.31,495.1,357.0
39,rod,354.59,44.11,8.038,0.992,11594.39,210.5,378.9
40,rod,314.61,40.58,7.754,0.992,7047.19,394.2,391.6
41,rod,71.06,37.99,1.871,0.845,1999.36,85.3,332.8
42,rod,54.06,30.61,1.766,0.824,1269.13,617.1,342.1
43,rod,339.71,44.67,7.605,0.991,11399.87,109.7,404.0
44,reject,38.35,25.88,1.482,0.738,765.31,695.3,367.4
45,reject,45.53,35.66,1.277,0.622,1234.06,666.5,373.2
46,rod,389.84,43.72,8.916,0.994,12547.83,699.8,477.4
47,rod,342.4,43.1,7.944,0.992,11243.62,457.8,473.8
48,rod,357.64,31.38,11.397,0.996,6237.24,281.4,465.3
49,rod,342.92,46.38,7.393,0.991,11779.34,670.2,478.7
50,rod,408.1,40.73,10.02,0.995,10809.95,339.6,490.2
51,rod,174.23,42.51,4.099,0.97,5628.19,594.1,418.6
52,rod,344.17,37.68,9.133,0.994,9375.0,305.5,489.5
53,rod,346.75,39.86,8.699,0.993,10315.69,397.0,523.1
54,rod,361.09,44.71,8.076,0.992,11836.73,557.9,456.1
55,rod,299.22,43.91,6.814,0.989,9872.45,430.8,525.2
56,rod,296.56,41.45,7.155,0.99,8533.16,545.3,493.2
57,rod,178.39,40.18,4.439,0.974,5389.03,215.3,539.4
58,rod,193.76,40.41,4.794,0.978,5395.41,367.1,537.6
59,rod,352.46,38.77,9.091,0.994,10031.89,91.5,565.4
60,rod,74.57,31.93,2.335,0.904,1766.58,598.0,520.7
61,rod,63.3,36.78,1.721,0.814,1597.58,500.8,534.5
62,rod,298.34,37.23,8.014,0.992,8313.14,549.1,563.1
63,rod,213.05,43.31,4.919,0.979,6980.23,341.9,615.7
64,rod,175.88,27.0,6.514,0.988,3622.45,596.3,593.1
65,rod,167.29,43.77,3.822,0.965,5583.55,275.9,625.4
66,rod,37.26,20.4,1.827,0.837,542.09,536.9,598.3
67,rod,50.93,27.0,1.886,0.848,998.09,497.9,600.7
68,rod,154.03,44.99,3.424,0.956,5149.87,311.2,630.7
69,rod,246.4,99.93,2.466,0.914,10369.9,442.4,640.2
70,rod,114.79,43.26,2.653,0.926,3463.01,376.9,637.7
71,rod,251.15,35.17,7.141,0.99,6559.31,622.3,624.2
72,reject,38.96,36.56,1.066,0.345,822.7,541.0,631.1
73,reject,44.9,30.66,1.464,0.73,1045.92,446.9,660.3
