particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,183.61,46.61,3.939,0.967,6219.71,408.5,121.3
2,rod,161.4,67.61,2.387,0.908,4775.99,499.4,118.5
3,rod,31.88,15.58,2.047,0.872,202.49,261.0,70.2
4,rod,36.14,14.61,2.474,0.915,218.43,313.9,72.9
5,rod,58.44,24.14,2.422,0.911,1069.83,265.9,167.8
6,rod,95.75,41.89,2.286,0.899,2130.1,306.6,226.4
7,rod,119.15,54.14,2.201,0.891,3927.77,505.3,262.0
8,rod,96.82,42.23,2.293,0.9,2883.45,436.5,266.3
9,rod,43.8,22.66,1.933,0.856,755.74,260.7,270.1
10,rod,29.08,17.59,1.654,0.796,395.41,292.0,260.0
11,rod,92.17,23.16,3.98,0.968,1637.44,392.8,305.6
12,reject,22.49,16.52,1.362,0.679,290.18,220.5,273.9
13,rod,89.05,20.46,4.353,0.973,1391.1,365.9,334.8
14,rod,111.87,23.69,4.722,0.977,1854.27,306.9,363.5
15,rod,139.31,36.67,3.799,0.965,3731.66,420.6,372.8
16,rod,70.2,16.91,4.152,0.971,894.45,334.2,372.9
17,rod,105.74,17.48,6.05,0.986,1101.72,229.9,389.2
18,rod,50.48,13.05,3.868,0.966,263.07,116.2,395.8
19,rod,67.76,26.77,2.531,0.919,1365.59,330.7,428.7
20,rod,31.46,19.39,1.622,0.787,367.51,273.6,433.7
21,rod,78.55,23.79,3.302,0.953,1198.98,260.8,460.4
22,rod,105.59,31.8,3.32,0.954,2306.28,213.5,485.4
23,rod,36.94,16.96,2.178,0.888,243.14,362.5,548.1
24,rod,35.2,18.19,1.935,0.856,296.56,30.6,553.5
25,reject,44.77,31.08,1.44,0.72,634.57,64.0,553.0
26,rod,33.46,22.74,1.471,0.734,371.49,134.8,555.6
27,reject,22.97,22.08,1.04,0.276,241.55,106.2,555.8
28,rod,43.23,12.66,3.414,0.956,208.07,274.3,595.1
29,rod,235.25,7.69,30.602,0.999,1352.84,132.7,581.8
30,rod,45.17,13.42,3.367,0.955,245.54,298.3,601.8
