particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,reject,23.41,12.53,1.869,0.845,223.07,291.1,260.7
2,reject,16.05,9.53,1.684,0.805,104.06,220.8,272.9
3,rod,76.2,16.56,4.602,0.976,915.71,367.2,339.1
4,dot,15.8,13.4,1.179,0.529,144.38,306.4,433.3
5,reject,26.79,16.38,1.636,0.791,252.34,236.2,456.5
6,rod,31.97,16.74,1.909,0.852,217.87,282.3,461.0
7,rod,31.06,15.48,2.007,0.867,205.52,30.9,554.4
8,reject,29.73,19.52,1.523,0.754,253.64,133.9,555.5
9,dot,19.97,18.79,1.063,0.34,167.79,106.7,555.9
10,dot,51.06,40.47,1.261,0.61,1577.78,398.9,62.1
11,reject,78.6,52.55,1.496,0.744,3166.62,515.3,95.7
12,rod,43.78,6.53,6.707,0.989,214.62,405.7,90.5
13,rod,43.88,11.25,3.899,0.967,370.06,407.5,100.0
14,rod,43.4,16.84,2.577,0.922,548.26,411.0,115.0
15,rod,41.69,6.99,5.967,0.986,218.52,414.5,127.7
16,rod,41.79,11.64,3.589,0.96,365.5,414.5,137.8
17,reject,37.29,24.35,1.532,0.758,649.71,476.8,135.0
18,rod,41.94,7.0,5.991,0.986,220.47,416.7,147.7
19,rod,41.82,6.97,5.999,0.986,219.82,415.3,155.3
20,dot,49.68,39.37,1.262,0.61,1399.58,470.2,164.8
21,rod,44.91,8.51,5.279,0.982,271.2,419.3,163.2
22,rod,42.08,5.48,7.681,0.991,176.25,417.1,170.5
23,dot,39.89,35.73,1.117,0.445,1065.3,415.4,192.6
24,dot,20.82,17.52,1.189,0.541,263.4,257.9,155.3
25,rod,23.06,8.19,2.817,0.935,141.13,266.6,167.8
26,reject,24.26,17.49,1.387,0.693,301.77,274.4,181.9
27,dot,29.51,24.05,1.227,0.58,475.42,290.1,208.4
28,rod,30.74,7.57,4.058,0.969,169.75,305.3,217.4
29,rod,19.56,7.71,2.536,0.919,107.31,312.9,219.3
30,reject,39.34,22.91,1.717,0.813,660.77,328.2,239.2
31,dot,55.84,43.61,1.28,0.625,1839.88,499.9,233.6
32,rod,52.8,13.09,4.034,0.969,518.34,507.4,267.0
33,rod,53.01,8.39,6.318,0.987,334.94,509.7,278.5
34,reject,49.11,32.44,1.514,0.751,1200.57,511.5,299.8
35,reject,54.21,39.07,1.387,0.693,1647.37,428.6,256.3
36,dot,31.79,27.24,1.167,0.516,657.52,458.3,293.6
37,dot,24.23,20.22,1.198,0.551,371.36,260.2,263.5
38,dot,21.12,17.7,1.193,0.545,282.91,262.9,285.4
39,reject,29.0,20.56,1.41,0.705,456.56,319.0,293.1
40,rod,29.18,12.18,2.397,0.909,266.65,301.5,298.5
41,rod,28.74,11.31,2.541,0.919,242.59,289.0,303.7
42,reject,28.33,17.42,1.626,0.789,357.05,231.9,311.6
43,dot,27.04,21.35,1.266,0.614,407.78,270.9,306.0
44,reject,27.92,17.0,1.642,0.793,359.0,213.1,318.3
45,rod,28.11,10.74,2.617,0.924,225.03,198.1,321.4
46,dot,20.23,15.16,1.335,0.662,223.07,325.6,318.6
47,reject,32.79,22.76,1.44,0.72,567.12,179.2,324.9
48,reject,38.84,28.54,1.361,0.678,838.32,256.7,328.6
49,reject,31.21,21.84,1.429,0.714,515.74,155.8,328.5
