particle_id,class,length_nm,width_nm,aspect_ratio,eccentricity,area_nm2,centroid_x,centroid_y
1,rod,25.03,8.66,2.89,0.938,121.74,177.0,16.1
2,rod,25.65,9.44,2.718,0.93,137.98,285.9,20.3
3,dot,21.48,17.01,1.263,0.611,141.22,107.3,24.9
4,rod,27.43,10.81,2.538,0.919,132.29,545.3,23.3
5,reject,24.76,17.19,1.44,0.72,162.32,319.3,39.7
6,rod,32.16,15.72,2.047,0.872,206.15,261.0,70.2
7,rod,39.2,10.15,3.861,0.966,142.03,92.1,71.6
8,rod,36.47,14.74,2.474,0.915,222.38,313.9,72.9
9,reject,29.53,16.37,1.804,0.832,151.77,126.4,75.8
10,rod,33.29,7.76,4.289,0.972,146.09,104.8,95.0
11,rod,34.25,12.4,2.763,0.932,188.3,69.3,135.0
12,rod,26.43,12.85,2.058,0.874,129.05,594.5,141.9
13,rod,34.53,9.02,3.83,0.965,130.67,224.3,167.1
14,rod,35.28,13.44,2.625,0.925,177.75,328.5,160.8
15,rod,34.02,12.07,2.819,0.935,146.9,162.5,159.7
16,reject,23.86,16.66,1.432,0.716,155.83,593.1,173.2
17,dot,23.87,18.24,1.309,0.645,140.41,55.7,192.0
18,rod,32.38,11.65,2.78,0.933,153.4,206.0,191.4
19,dot,23.54,17.8,1.323,0.655,173.69,239.3,200.3
20,rod,22.95,11.97,1.918,0.853,126.61,111.1,228.5
21,dot,16.98,15.0,1.132,0.469,198.04,234.9,254.6
22,reject,29.34,17.74,1.654,0.796,402.56,292.0,260.0
23,reject,22.7,16.67,1.362,0.679,295.43,220.5,273.9
24,rod,31.03,11.83,2.623,0.924,126.61,37.5,309.4
25,rod,112.88,23.9,4.722,0.977,1887.83,306.9,363.5
26,rod,22.24,9.19,2.421,0.911,122.55,561.7,321.0
27,reject,18.0,9.52,1.891,0.849,131.48,271.3,341.0
28,reject,24.22,12.96,1.868,0.845,131.48,600.5,339.2
29,rod,70.83,17.06,4.152,0.971,910.64,334.2,372.9
30,rod,28.74,9.44,3.045,0.945,136.35,38.9,346.8
31,rod,106.69,17.64,6.05,0.986,1121.66,229.9,389.2
32,rod,50.94,13.17,3.868,0.966,267.84,116.2,395.8
33,rod,28.66,9.78,2.93,0.94,129.05,512.1,404.8
34,rod,34.95,13.99,2.498,0.916,173.69,480.9,414.3
35,reject,25.67,14.72,1.743,0.819,150.15,137.2,415.9
36,rod,29.79,7.96,3.742,0.964,124.99,504.7,428.1
37,reject,31.74,19.57,1.622,0.787,374.16,273.6,433.7
38,rod,29.22,8.39,3.483,0.958,124.99,110.3,449.0
39,reject,28.49,15.98,1.783,0.828,156.64,45.2,462.8
40,rod,31.11,13.37,2.327,0.903,155.83,567.7,512.5
41,rod,30.04,13.59,2.211,0.892,165.57,609.6,534.4
42,rod,37.27,17.11,2.178,0.888,247.54,362.5,548.1
43,rod,35.52,18.36,1.935,0.856,301.92,30.6,553.5
44,rod,28.13,13.79,2.039,0.872,131.48,507.3,552.5
45,reject,33.76,22.94,1.471,0.734,378.22,134.8,555.6
46,dot,23.18,22.28,1.04,0.276,245.92,106.2,555.8
47,rod,25.97,10.57,2.456,0.913,134.73,418.4,558.5
48,rod,38.02,8.67,4.383,0.974,158.27,305.5,567.3
